index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
1,Madhesh Province,Saptari,Chinnamasta Bhagwati Temple,Religious sites and temples,Chinnamasta Rural Municipality,To prioritize,Master inventory researched,
2,Madhesh Province,Saptari,Kankalini Temple,Religious sites and temples,Hanumannagar Kankalini Municipality,To prioritize,Master inventory researched,
3,Madhesh Province,Saptari,Shambhunath Temple,Religious sites and temples,Shambhunath Municipality,To prioritize,Master inventory researched,
4,Madhesh Province,Saptari,Koshi Tappu Wildlife Reserve sector,"National parks, conservation areas, and wildlife sites",Koshi floodplain,To prioritize,Master inventory researched,Cross-district reserve.
5,Madhesh Province,Saptari,Koshi Barrage eastern approaches,Major tourist attractions,Hanumannagar-Kankalini area,To prioritize,Master inventory researched,
6,Madhesh Province,Saptari,Rupani wetland and forest belt,Lakes and wetlands,Rupani area,To prioritize,Master inventory researched,
7,Madhesh Province,Saptari,Bhar Daha wetland,Lakes and wetlands,Kanchanrup area,To prioritize,Master inventory researched,
8,Madhesh Province,Saptari,Saptakoshi river islands and bird habitat,Rivers and waterfalls,Eastern Saptari,To prioritize,Master inventory researched,
9,Madhesh Province,Siraha,Salahesh Fulbari,Historical and cultural places,Lahan Municipality area,To prioritize,Master inventory researched,Cultural garden associated with the folk hero Salahesh.
10,Madhesh Province,Siraha,Pakadi Gadhi remains,Historical and cultural places,Local verification required,To prioritize,Master inventory researched,Exact site naming/location should be checked locally.
11,Madhesh Province,Siraha,Salahesh Temple sites,Religious sites and temples,Lahan-Siraha region,To prioritize,Master inventory researched,
12,Madhesh Province,Siraha,Uttarayani Dham,Religious sites and temples,Kamala river area,To prioritize,Master inventory researched,
13,Madhesh Province,Siraha,Baba Taal,Lakes and wetlands,Lahan area,To prioritize,Master inventory researched,
14,Madhesh Province,Siraha,Kamal Daha,Lakes and wetlands,Siraha district,To prioritize,Master inventory researched,
15,Madhesh Province,Siraha,Kamala River corridor,Rivers and waterfalls,Eastern district boundary,To prioritize,Master inventory researched,
16,Madhesh Province,Siraha,Chure foothill forest belt,Natural attractions,Northern Siraha,To prioritize,Master inventory researched,
17,Madhesh Province,Dhanusha,Janaki Mandir,Religious sites and temples,Janakpurdham Sub-Metropolitan City,To prioritize,Master inventory researched,
18,Madhesh Province,Dhanusha,"Ram Mandir, Janakpur",Religious sites and temples,Janakpurdham,To prioritize,Master inventory researched,
19,Madhesh Province,Dhanusha,Dhanushadham,Religious sites and temples,Dhanushadham Municipality,To prioritize,Master inventory researched,
20,Madhesh Province,Dhanusha,Mithila Bihari and Parikrama route sites,Religious sites and temples,Dhanusha countryside,To prioritize,Master inventory researched,Cross-district pilgrimage circuit.
