id,province,district,name,category,municipality_or_area,priority,research_status,geometry_type,source_routing_status,access_status,permit_layers,parent_entity_id,visitor_ready_label,match_method,permit_entry_text,how_to_visit,canonical_source_file,visitor_ready_source_file
np-bagmati-bhaktapur-bhaktapur-durbar-square,Bagmati,Bhaktapur,Bhaktapur Durbar Square,Historical and cultural places,Bhaktapur Municipality,,,AREA,routable,ROUTABLE,NONE,,Bhaktapur Durbar Square,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-dattatreya-square,Bagmati,Bhaktapur,Dattatreya Square,Historical and cultural places,Bhaktapur Municipality,,,AREA,routable,ROUTABLE,NONE,,Dattatreya Square,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-thimi-heritage-town,Bagmati,Bhaktapur,Thimi heritage town,Historical and cultural places,Madhyapur Thimi Municipality,,,AREA,routable,ROUTABLE,NONE,,Thimi heritage town,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-bode-and-nil-barahi-cultural-area,Bagmati,Bhaktapur,Bode and Nil Barahi cultural area,Historical and cultural places,Madhyapur Thimi,,,AREA,routable,ROUTABLE,NONE,,Bode and Nil Barahi cultural area,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-nyatapola-temple,Bagmati,Bhaktapur,Nyatapola Temple,Religious sites and temples,Taumadhi Square,,,POINT,routable,ROUTABLE,NONE,,Nyatapola Temple,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-changu-narayan-temple,Bagmati,Bhaktapur,Changu Narayan Temple,Religious sites and temples,Changunarayan Municipality,,,POINT,routable,ROUTABLE,NONE,,Changu Narayan Temple,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-kailashnath-mahadev-statue,Bagmati,Bhaktapur,Kailashnath Mahadev Statue,Religious sites and temples,"Sanga, Suryabinayak Municipality",,,POINT,routable,ROUTABLE,NONE,,Kailashnath Mahadev Statue,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-suryabinayak-temple,Bagmati,Bhaktapur,Suryabinayak Temple,Religious sites and temples,Suryabinayak Municipality,,,POINT,routable,ROUTABLE,NONE,,Suryabinayak Temple,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-siddha-pokhari,Bagmati,Bhaktapur,Siddha Pokhari,Lakes and wetlands,Bhaktapur Municipality,,,ROUTE,routable,ROUTABLE,RESTRICTED_AREA_PERMIT,,Siddha Pokhari,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-nagarkot,Bagmati,Bhaktapur,Nagarkot,Viewpoints and hill stations,Changunarayan Municipality,,,POINT,routable,ROUTABLE,NONE,,Nagarkot,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-bhaktapur-pilot-baba-ashram-viewpoint,Bagmati,Bhaktapur,Pilot Baba Ashram viewpoint,Viewpoints and hill stations,Suryabinayak area,,,POINT,routable,ROUTABLE,NONE,,Pilot Baba Ashram viewpoint,mention,,,provinces/bagmati/districts/bhaktapur.md,provinces/bagmati/visitor_ready/bhaktapur.md
np-bagmati-chitwan-chitwan-national-park,Bagmati,Chitwan,Chitwan National Park,"National parks, conservation areas, and wildlife sites",Southern Chitwan,,,PROTECTED_AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;OPERATOR_DEPENDENT;ENTRY_FEE;DYNAMIC,chitwan-national-park,Chitwan National Park,exact,Special Trekking Permit: no; Park Entry Required: yes; Current Official Entry Fee 2026: Nepali Npr: 150; Saarc Npr: 1000; Foreigner Npr: 2000; Jeep Drive Permit: separate vehicle permission/fee applies at designated gates; Rule: Treat fees and safari rules as dynamic and re-check before publication/use.,"From Sauraha: Use the official Sauraha/Tandi park gateway for eastern park activities; hotels/operators normally transfer visitors to the ticket/access zone.; From Bharatpur: Kasara headquarters is about 21 km by road from Bharatpur; access via Jagatpur/Kasara for headquarters, museum and gharial-centre side.; From Meghauli: Use the official Bhimle/Meghauli western gateway for western park activities.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-bish-hajari-birdwatching-forests,Bagmati,Chitwan,Bish Hajari birdwatching forests,"National parks, conservation areas, and wildlife sites",Buffer-zone landscape,,,WATER,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;ENTRY_FEE;DYNAMIC,,Beeshazar and Associated Lakes,fuzzy,Restricted Area Trekking Permit: no; Local Access Or Buffer Zone Fee: dynamic; Note: Use current local access rules; Ramsar reference coordinate is not an entrance.,"From Bharatpur: Approach the Barandabhar/Beeshazar visitor side from Bharatpur by local road; route to a verified access point, not the Ramsar centre.; From Sauraha: Road transfer west/northwest toward the Barandabhar-Beeshazar access area.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
