index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
1,Bagmati Province,Dolakha,Kalinchowk Bhagwati Temple,Religious sites and temples,Kalinchowk Rural Municipality,To prioritize,Master inventory researched,
2,Bagmati Province,Dolakha,Dolakha Bhimsen Temple,Religious sites and temples,Bhimeshwar Municipality,To prioritize,Master inventory researched,
3,Bagmati Province,Dolakha,Kuri village,Community tourism and notable villages,Kalinchowk,To prioritize,Master inventory researched,
4,Bagmati Province,Dolakha,Jiri,Community tourism and notable villages,Jiri Municipality,To prioritize,Master inventory researched,Historic trekking gateway.
5,Bagmati Province,Dolakha,Gaurishankar Conservation Area,"National parks, conservation areas, and wildlife sites",Northern Dolakha and adjoining districts,To prioritize,Master inventory researched,
6,Bagmati Province,Dolakha,Rolwaling Valley,Trekking areas and mountain destinations,Gaurishankar Rural Municipality,To prioritize,Master inventory researched,
7,Bagmati Province,Dolakha,Lamabagar and Lapchi valley,Trekking areas and mountain destinations,BigU Rural Municipality,To prioritize,Master inventory researched,
8,Bagmati Province,Dolakha,Tsho Rolpa Lake,Lakes and wetlands,Rolwaling Valley,To prioritize,Master inventory researched,
9,Bagmati Province,Dolakha,Charikot viewpoints,Viewpoints and hill stations,Bhimeshwar Municipality,To prioritize,Master inventory researched,
10,Bagmati Province,Dolakha,Sailung hills,Viewpoints and hill stations,Dolakha-Ramechhap border,To prioritize,Master inventory researched,
11,Bagmati Province,Dolakha,Biguti and Tamakoshi valleys,Natural attractions,Northern and central Dolakha,To prioritize,Master inventory researched,
12,Bagmati Province,Sindhupalchok,Langtang National Park sector,"National parks, conservation areas, and wildlife sites",Northern Sindhupalchok,To prioritize,Master inventory researched,Cross-district park.
13,Bagmati Province,Sindhupalchok,Helambu trekking region,Trekking areas and mountain destinations,Helambu Rural Municipality,To prioritize,Master inventory researched,
14,Bagmati Province,Sindhupalchok,Panch Pokhari,Lakes and wetlands,Panchpokhari Thangpal Rural Municipality,To prioritize,Master inventory researched,Sacred alpine lake group.
15,Bagmati Province,Sindhupalchok,Bhairav Kunda,Lakes and wetlands,Bhotekoshi region,To prioritize,Master inventory researched,
16,Bagmati Province,Sindhupalchok,Tatopani hot springs,Natural attractions,Bhotekoshi Rural Municipality,To prioritize,Master inventory researched,
17,Bagmati Province,Sindhupalchok,Sukute beach and rafting corridor,Rivers and waterfalls,Sunkoshi River,To prioritize,Master inventory researched,
18,Bagmati Province,Sindhupalchok,Bhotekoshi rafting and canyoning area,Rivers and waterfalls,Bhotekoshi valley,To prioritize,Master inventory researched,
19,Bagmati Province,Sindhupalchok,Gaurati Bhimsen Temple,Religious sites and temples,Chautara Sangachokgadhi Municipality,To prioritize,Master inventory researched,
20,Bagmati Province,Sindhupalchok,Palchok Bhagwati Temple,Religious sites and temples,Helambu region,To prioritize,Master inventory researched,
21,Bagmati Province,Sindhupalchok,Melamchi-Ghyangfedi villages,Community tourism and notable villages,Helambu-Melamchi belt,To prioritize,Master inventory researched,
22,Bagmati Province,Sindhupalchok,Ama Yangri peak,Viewpoints and hill stations,Helambu,To prioritize,Master inventory researched,
23,Bagmati Province,Rasuwa,Langtang National Park,"National parks, conservation areas, and wildlife sites",Most of northern Rasuwa,To prioritize,Master inventory researched,
24,Bagmati Province,Rasuwa,Langtang Valley,Trekking areas and mountain destinations,Gosainkunda Rural Municipality,To prioritize,Master inventory researched,
25,Bagmati Province,Rasuwa,Tamang Heritage Trail,Trekking areas and mountain destinations,Gatlang-Tatopani-Thuman region,To prioritize,Master inventory researched,
26,Bagmati Province,Rasuwa,Gosainkunda Lake,Lakes and wetlands,Gosainkunda Rural Municipality,To prioritize,Master inventory researched,Ramsar sacred alpine lake.
27,Bagmati Province,Rasuwa,Kyanjin Gompa,Community tourism and notable villages,Langtang Valley,To prioritize,Master inventory researched,
