index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
1,Koshi Province,Bhojpur,Arun River Corridor,River landscape and adventure potential,Arun Rural Municipality,Major,First-round researched,
2,Koshi Province,Bhojpur,Bhojpur Khukuri Craft Centres,Traditional handicrafts,Bhojpur Municipality and Taksar,Major,First-round researched,
3,Koshi Province,Bhojpur,Hatuwagadhi Durbar,"Fort, palace and historical site",Hatuwagadhi Rural Municipality,Major,First-round researched,
4,Koshi Province,Bhojpur,Maiyung Danda,"Viewpoint, grassland and trekking area",Temkemaiyung Rural Municipality,Major,First-round researched,
5,Koshi Province,Bhojpur,Mundhum Trail,Cultural trekking route,Temkemaiyung and adjoining areas,Major,First-round researched,
6,Koshi Province,Bhojpur,Salpa Pokhari,"Sacred lake, pilgrimage and trekking destination",Salpasilichho Rural Municipality,Major,First-round researched,
7,Koshi Province,Bhojpur,Silichung Peak,Mountain viewpoint and trekking destination,Salpasilichho Rural Municipality,Major,First-round researched,
8,Koshi Province,Bhojpur,Temke Danda,Viewpoint and hill destination,Temkemaiyung Rural Municipality,Major,First-round researched,
9,Koshi Province,Bhojpur,Bhojpur Bazaar,Cultural town and handicraft centre,Bhojpur Municipality,High,First-round researched,
10,Koshi Province,Bhojpur,Bidhya Pokhari,"Pond, wetland and religious/natural site",Hatuwagadhi Rural Municipality,Emerging,First-round researched,
11,Koshi Province,Bhojpur,Chakhewa Danda,Viewpoint and trekking stop,Temkemaiyung area,High,First-round researched,
12,Koshi Province,Bhojpur,Chamere Gufa,Cave,Hatuwagadhi Rural Municipality,Emerging,First-round researched,
13,Koshi Province,Bhojpur,Dimalung Park,Park and local recreation site,Hatuwagadhi Rural Municipality,Local/Emerging,First-round researched,
14,Koshi Province,Bhojpur,Dingla Bazaar,Historical market and cultural town,Shadananda Municipality,High,First-round researched,
15,Koshi Province,Bhojpur,Dobhane,Trekking village and gateway,Salpasilichho Rural Municipality,High,First-round researched,
16,Koshi Province,Bhojpur,Hans Pokhari,"Lake, wetland and wildlife area",Temkemaiyung Rural Municipality,High,First-round researched,
17,Koshi Province,Bhojpur,Indreni Jharna,Waterfall,Hatuwagadhi Rural Municipality,Emerging,First-round researched,
18,Koshi Province,Bhojpur,Mahavir Waterfall,Waterfall,Temkemaiyung Rural Municipality,Emerging,First-round researched,
